GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.repositories.implementations,DistrictRepositoryImpl,6,57,0,0,4,17,0,6,0,6
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.repositories.implementations,DistrictRepositoryImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.services.implementations,DistrictServiceImpl,0,19,0,0,0,5,0,2,0,2
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.services.implementations,HouseServiceImpl,0,148,0,0,0,38,0,12,0,12
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.dtos.response,AssessmentDTO.AssessmentDTOBuilder,12,42,0,0,0,1,1,7,1,7
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.dtos.response,AssessmentDTO,132,125,24,22,2,8,26,14,8,9
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.controllers,HouseController,0,30,0,0,0,7,0,5,0,5
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones,TucasitaTasacionesApplication,5,3,0,0,2,1,1,1,1,1
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.entities,District,56,68,15,7,0,6,13,8,2,8
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.dtos.request,EnvironmentDTO,98,112,27,11,0,8,21,12,2,12
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.dtos.request,HouseDTO,12,24,0,0,1,5,1,7,1,7
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.dtos.request,DistrictDTO,56,68,15,7,0,6,13,8,2,8
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.exceptions,ApiExceptionAdvice,41,3,2,0,8,1,3,1,2,1
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.exceptions,DistrictNotFoundException,4,6,0,0,1,3,1,1,1,1
tucasita-tasaciones,com.mercadolibre.tucasitatasaciones.exceptions,ErrorMessage,30,0,0,0,12,0,5,0,5,0
